question,expected
Qual óleo usar no motor?,Óleo do motor
Qual oleo o motor utiliza?,Óleo do motor
Qual a viscosidade do óleo?,Óleo do motor
Que lubrificante devo usar no motor?,Óleo do motor
Qual óleo é recomendado para o carro?,Óleo do motor
Qual a pressão correta dos pneus?,Pressão dos pneus
Quantos PSI devo colocar nos pneus?,Pressão dos pneus
Como devo calibrar os pneus?,Pressão dos pneus
Qual a calibragem dos pneus?,Pressão dos pneus
Qual pressão usar nos pneus?,Pressão dos pneus
Qual o tamanho dos pneus?,Medida dos pneus
Qual a medida dos pneus?,Medida dos pneus
Qual a medida original dos pneus?,Medida dos pneus
Qual pneu o carro utiliza?,Medida dos pneus
Qual a dimensão dos pneus?,Medida dos pneus
Qual a cor do carro?,Desconhecido
Quem fabrica o carro?,Desconhecido
Qual o modelo do carro?,Desconhecido
Quanto pesa o carro?,Desconhecido
Onde o carro foi fabricado?,Desconhecido
